stim_on_time_ms,stim_off_time_ms,stim_on_delay_ms,stimulus_size_degrees,fixation_window_size_degrees,fixation_point_size_degrees,stim_id,stim_current,stimulus_presented,fixation_correct,stimulus_order_in_trial,samp_on_us,photodiode_on_us
100.0,100.0,300.0,8,2,0.2,d-025,16,78,1,6,126646100,126631900
100.0,100.0,300.0,8,2,0.2,b-031,40,79,1,7,126979800,126981950
100.0,100.0,300.0,8,2,0.2,d-018,40,80,1,8,127312900,127305150
100.0,100.0,300.0,8,2,0.2,b-000,8,81,1,1,136705850,136715400
100.0,100.0,300.0,8,2,0.2,d-016,8,82,1,2,137039050,137036550
100.0,100.0,300.0,8,2,0.2,a-028,24,83,1,3,137372450,137358650
100.0,100.0,300.0,8,2,0.2,a-000,32,84,1,4,137706350,137708550
100.0,100.0,300.0,8,2,0.2,a-022,32,85,1,5,138039250,138029300
100.0,100.0,300.0,8,2,0.2,a-024,8,86,1,6,138373200,138380600
100.0,100.0,300.0,8,2,0.2,d-000,4,87,1,7,138706200,138707600
100.0,100.0,300.0,8,2,0.2,d-010,32,88,1,8,139041450,139051800
100.0,100.0,300.0,8,2,0.2,a-031,48,89,1,1,146727500,146725500
100.0,100.0,300.0,8,2,0.2,a-016,4,90,0,2,147062750,147076100
100.0,100.0,300.0,8,2,0.2,a-016,4,90,1,1,156188900,156176300
100.0,100.0,300.0,8,2,0.2,d-018,32,91,1,2,156522100,156509100
100.0,100.0,300.0,8,2,0.2,d-016,24,92,1,3,156856050,156848000
100.0,100.0,300.0,8,2,0.2,b-031,4,93,1,4,157188900,157175600
100.0,100.0,300.0,8,2,0.2,a-028,4,94,1,5,157522300,157519950
100.0,100.0,300.0,8,2,0.2,a-024,32,95,1,6,157857150,157849000
100.0,100.0,300.0,8,2,0.2,d-000,8,96,1,7,158188950,158192800
100.0,100.0,300.0,8,2,0.2,d-010,40,97,1,8,158522400,158511150
100.0,100.0,300.0,8,2,0.2,d-008,40,98,1,1,166189550,166175050
100.0,100.0,300.0,8,2,0.2,a-022,16,99,1,2,166522400,166523650
100.0,100.0,300.0,8,2,0.2,a-031,16,100,1,3,166855350,166841950
100.0,100.0,300.0,8,2,0.2,d-025,48,101,1,4,167189700,167188200
